title,company,location,link
Senior Data Scientist,Locus IT Services,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=57e488428ef83b1e&bb=ZSXSIMs9D0qnX6GHDqRBPBMMFdJKhR8Mi5SxF7fRnywMjWQlZuZTwNyprPPIUg9Vqq9h5M1ntGpfcE4-HQq51S9AKs1gZZuEgEU9NK6H1Zy_JE-xql4CHUckWjWfa3sKkeirlw6nwTRlqv3SxGql1w%3D%3D&xkcb=SoCQ67M3jA497MTCT50LbzkdCdPP&fccid=4036c4572ade0148&vjs=3
Senior Data Scientist,vConstruct,"Pune, Maharashtra",https://in.indeed.com/rc/clk?jk=5ce12b41e9389014&bb=ZSXSIMs9D0qnX6GHDqRBPNFewBm2wESDYBSEwlMP7T6lVP4aC2Kw-qO2zrEYiHOtbNx7pXMPBzZnhZRAJeP5BM1GqY-duzz-ivD_roJHSCAX8YBAic59INyZJtaL3geJgVhmNgi7IAIqlD91ESJCAQ%3D%3D&xkcb=SoAk67M3jA497MTCT50KbzkdCdPP&fccid=7d7d6e1692e157dc&vjs=3
Senior Data Scientist (Bangalore - Hybrid),Scry Analytics,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=42321f0043552004&bb=ZSXSIMs9D0qnX6GHDqRBPCtJaTwLDRYonCx8ZPQ4iBfvTNAbBnWY65Bd0L92VrIlaCEHXGRkliSByYsES7Y82rU2QePYr6dGnad8U0AFR7SosDH25_8J5iP7juT2HSCZi_SOus_RoGnTMJ6r-XEEHw%3D%3D&xkcb=SoC567M3jA497MTCT50JbzkdCdPP&fccid=0f3c7d388790d789&vjs=3
Senior AI/ML Data Scientist,Somnetics,"Kolkata, West Bengal",https://in.indeed.com/rc/clk?jk=5954376e3ef51439&bb=ZSXSIMs9D0qnX6GHDqRBPJce7tFy73u2AwvLt2uwSi234rn6tAHxpDEW1NAUl1LuNRK8Vddk5o0_GFB2gY1IUXlWfolaI8PWymanPVxsqL3B_xRo79IKn1FY79Tbi5-arMKkcT_wQVe6TNa7tUkaDA%3D%3D&xkcb=SoAN67M3jA497MTCT50IbzkdCdPP&fccid=f069781a61815517&vjs=3
Senior AI/ML Data Scientist,Somnetics,"Kolkata, West Bengal",https://in.indeed.com/viewjob?jk=a1b2c3d4e5f67890
Lead AI Engineer,Credit Saison,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=466fddd84c9b8dd5&bb=ZSXSIMs9D0qnX6GHDqRBPKquSjBn5ifbM2mqE5xapl3Su_qeDlk2hGtnUrqDNV0U2W9kCAoqfG1c1ySznaHXtdfhjuKBpexjdmUc2jLZ6VAtxro_RtNABhiaVtDZ2Mm-42mb3RJHYKX58x5wCss_dQ%3D%3D&xkcb=SoCD67M3jA497MTCT50PbzkdCdPP&fccid=b0fbdd288169cca3&vjs=3
Sr. Data Scientist,Shree HR Services,"Hyderabad, Telangana",https://in.indeed.com/rc/clk?jk=8b55add10ed85f6a&bb=ZSXSIMs9D0qnX6GHDqRBPFzdG0cLS_HCUSiAtusUdK_JgFznrVg-bnEiJZVkCQUvh0VgvMNElpieJamqt-NwGXcHU2vlOFro4tH0lcqX_6xKYq11Iose4hbfGBoWZLdzDRxpI0HdzwAVadRX9Z9x5w%3D%3D&xkcb=SoA367M3jA497MTCT50ObzkdCdPP&fccid=4739c2ddb668a711&cmp=Shree-Hr-services&ti=Senior+Data+Scientist&vjs=3
Senior/Lead Data Scientist - GEN AI,Srijan Technologies PVT LTD,"Hybrid work in Gurugram, Haryana",https://in.indeed.com/rc/clk?jk=afa3295bf7658c61&bb=ZSXSIMs9D0qnX6GHDqRBPBMKDofd99AI-HabwyDzI6OePcg0UkzcV87PE-VqbT7jQ4l21p76TV0jMcZF1hCPU0QNlvnGcLMvb_O7WOwgCQX78-BY-HzGjKgTp9gPtZBVbIzfHrtpkH1PT-NuAiHvGw%3D%3D&xkcb=SoCq67M3jA497MTCT50NbzkdCdPP&fccid=ce26d549c132788a&vjs=3
Senior Data Scientist,ShyftLabs,"Noida, Uttar Pradesh",https://in.indeed.com/rc/clk?jk=d0cc168b9b6db2fb&bb=ZSXSIMs9D0qnX6GHDqRBPAaLNdH-o9x3P2dv-GEb6hYtl8KEgd3dvn7SATJPB4E-tN1wN3mEyp3wQTGzrca1ztO7RFmysB2a_du54vrADnlR4a-EdqwSlHqq-nbEZne27qKq9T01Ly-Mjqjfu4ChmQ%3D%3D&xkcb=SoAe67M3jA497MTCT50MbzkdCdPP&fccid=2d1ea5cfea74cda1&vjs=3
Senior Data Scientist,Nference,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=e692450a7f85df77&bb=ZSXSIMs9D0qnX6GHDqRBPAaLNdH-o9x3J91lAm06EKQJOOei2s6Ix8OQxiuY7cYM9Z2MUfF4UscNWLmWRGPWX9fXZ0-01Tm-4D6LCo64N8gBeejRpnMCBKUhN8bWv3l9jN6L3N7JHiy7JSdDF2l0OA%3D%3D&xkcb=SoD367M3jA497MTCT50DbzkdCdPP&fccid=f3aee6761ce9b6ff&vjs=3
